term_vs,acronym_abrev,term_eng,criterion_and_use
FCR vs FCS,FCR,Fire Control Room,Cuarto de control de incendios.
FCR vs FCS,FCS,Fire Control Symbol,Símbolo para el control del fuego (identifica en fachada al edificio con una categoría para facilitar el trabajo de los bomberos en caso de incendio). Sus variaciones son: Símbolo con F → Edificio con Floor Trusses. Símbolo con R → Edificio con Roof Trusses. Símbolo con RF → Edificio con Floor & Roof Trusses.
HVAC vs CU vs AHU vs RTU,HVAC,"Heating, Ventilation and Cooling","Sistema de calefacción, ventilación y enfriamiento."
HVAC vs CU vs AHU vs RTU,AHU,Air Handling Unit,Unidad de tratamiento de aire.
HVAC vs CU vs AHU vs RTU,CU,Condensing Unit,Unidad de condensación.
HVAC vs CU vs AHU vs RTU,RTU,Rooftop Unit,Unidad de aire acondicionado en el techo del edificio.
EXHAUST vs INTAKE,EX,Exhaust,Extractor de aire (ventilación).
EXHAUST vs INTAKE,IN,Intake,Toma de aire (ventilación).
SHAFT vs CHASE vs HOISTWAY vs CHUTE,SHFT,Shaft,Hueco vertical que comunica varios pisos (siempre con rating de 2h).
SHAFT vs CHASE vs HOISTWAY vs CHUTE,CHS,Chase,Hueco que puede comunicar varios pisos y puede ser horiz (no siempre llevan rating).
SHAFT vs CHASE vs HOISTWAY vs CHUTE,HSTWY,Hoistway,Hueco vertical específicamente del elevador (siempre con rating de 2h).
SHAFT vs CHASE vs HOISTWAY vs CHUTE,TRSH CHT,Trash Chute,"Ducto vertical de basura (conecta todos los pisos con el trash room en el 1F). En su parte inferior, a veces se le hace un offset (max 15º). Siempre con rating 2h."
CHIMNEY vs FIREPLACE,CHMNY,Chimney,Chimenea (hace referencia al conducto vertical que deja salir el humo).
CHIMNEY vs FIREPLACE,FPL,Fireplace,Chimenea (hace referencia a la parte baja que da a la sala).
KNOX BOX vs JUNCTION BOX,K-BOX,Knox Box,Caja cerrada donde se guardan las llaves de acceso a servicios del edificio.
KNOX BOX vs JUNCTION BOX,J-BOX,Junction Box,Caja de conexiones.
ALLOWED vs REQUIRED vs PROVIDED vs PROPOSED,ALLOWD,Allowed,Permitido.
ALLOWED vs REQUIRED vs PROVIDED vs PROPOSED,REQD,Required,Requerido / Necesario.
ALLOWED vs REQUIRED vs PROVIDED vs PROPOSED,PROVD,Provided,Provisto / Proporcionado.
ALLOWED vs REQUIRED vs PROVIDED vs PROPOSED,PROPD,Proposed,Propuesto.
RENOVATION vs RESTORATION,RENOV,Renovation,Renovación (cambios significativos con objetivo de mejorar el proyecto).
RENOVATION vs RESTORATION,RESTOR,Restoration,Restauración (cambios con objetivo de preservar la forma original del proyecto).
DECORATION vs ORNAMENTATION,DECO,Decoration,Elemento decorativo.
DECORATION vs ORNAMENTATION,ORNAM,Ornamentation,Decoración (término más formal que decoration e incuantificable).
FALSEWORK vs FORMWORK vs SCAFFOLDING,FLSWK,Falsework,Puntales (estructura provisional para sostener una permanente en construcción).
FALSEWORK vs FORMWORK vs SCAFFOLDING,FRMWK,Formwork,Encofrado / Formaleta (molde provisional sobre el que se dar forma al concreto).
FALSEWORK vs FORMWORK vs SCAFFOLDING,SCAFF,Scaffolding,Andamiaje (estructura temporal para poder trabajar con seguridad elementos altos).
FHA vs ADA vs FAC,FHA,Fair Housing Act,Ley Federal de Equidad de Viviendas. Regula los estándares de accesibilidad para vivienda privada.
FHA vs ADA vs FAC,ADA,Americans with Disabilities Act,Ley Federal para Estadounidenses con Discapacidades. Regula los estándares de accesibilidad para zonas públicas.
FHA vs ADA vs FAC,FAC,Florida Accessibility Code,"Código de Accesibilidad de Florida. Regula los estándares de accesibilidad para zonas públicas (específico para Florida). A diferencia de ADA (que engloba los estandarizados federales de diseño), el FAC es un código de edificación (y por tanto tiene más peso en materia legal)."
ANSI vs ISO,ANSI,American National Standards Institute,Institución Estadounidense que coordina los estándares tecnológicos. El código ANSI A117.1 Standard aplica para áreas privadas y DUs (al igual que FHA).
ANSI vs ISO,ISO,International Standards Organization,Organización internacional que coordina los estandarizados.
LLC vs INC,LLC,Limited Liability Company,"Sociedad de Responsabilidad Limitada (SRL) → Limitada al capital aportado. Sin doble tributación, las ganancias o pérdidas son asumidas por sus miembros."
LLC vs INC,INC,Incorporated / Corporation,Sociedad Anónima (SA) →  Posee accionistas y puede entrar en bolsa de valores. Poseen doble tributación (C-Corp). Sus socios/accionistas no declaran impuestos.
OWNER vs GENERAL CONTRACTOR vs SPECIALTY CONTRACTOR vs SUBCONTRACTOR vs DEVELOPER,OWNR,Owner,Dueño.
OWNER vs GENERAL CONTRACTOR vs SPECIALTY CONTRACTOR vs SUBCONTRACTOR vs DEVELOPER,GC,General Contractor,Contratista general (se encarga de coordinar múltiples aspectos del proyecto).
OWNER vs GENERAL CONTRACTOR vs SPECIALTY CONTRACTOR vs SUBCONTRACTOR vs DEVELOPER,SPC,Specialty Contractor,Contratista especializado (coordina un aspecto específico del proyecto).
OWNER vs GENERAL CONTRACTOR vs SPECIALTY CONTRACTOR vs SUBCONTRACTOR vs DEVELOPER,SC,Subcontractor,"Subcontratista (posee relación contractual con el contratista, pero no con el dueño)."
OWNER vs GENERAL CONTRACTOR vs SPECIALTY CONTRACTOR vs SUBCONTRACTOR vs DEVELOPER,DEV,Developer,Desarrollador (su objetivo es la venta del proyecto tras ser finalizado).
DESIGN BID BUILD vs DESIGN BUILD vs CONSTRUCTION MANAGER AT RISK vs JOB ORDER CONTRACTING,DBB,Design Bid Build,"Esquema de entrega de proyecto más habitual. El dueño contrata inicialmente al arquitecto para diseñar el proyecto. Posteriormente, durante la fase de licitación, selecciona al contratista. La responsabilidad se divide en tres partes."
DESIGN BID BUILD vs DESIGN BUILD vs CONSTRUCTION MANAGER AT RISK vs JOB ORDER CONTRACTING,DB,Design Build,Esquema de entrega de proyecto en el que el dueño contrata a una sóla compañía para manejar tanto el diseño como la construcción del proyecto.
DESIGN BID BUILD vs DESIGN BUILD vs CONSTRUCTION MANAGER AT RISK vs JOB ORDER CONTRACTING,CMAR,Construction Manager at Risk,"Esquema de entrega de proyecto en el que el dueño posee contratos independientes con el arquitecto y el contratista, y ambos colaboran durante el diseño del proyecto. Asimismo, el contratista tiene un costo máximo de ejecución (GMP) cuyo exceso, si se produjese, debe asumirlo de su bolsillo."
DESIGN BID BUILD vs DESIGN BUILD vs CONSTRUCTION MANAGER AT RISK vs JOB ORDER CONTRACTING,JOC,Job Order Contracting,Esquema de entrega de proyecto indefinido. Se caracteriza por poder incluir múltiples proyectos en un sólo contrato a largo plazo.
SHAREHOLDER vs STAKEHOLDER,SHRHOLDER,Shareholder,Accionista de una compañía.
SHAREHOLDER vs STAKEHOLDER,STKHOLDER,Stakeholder,Parte interesada de una compañía (sin ser necesariamente accionista de la misma).
RFI vs RFP vs RFQ,RFI,Request for Information,Solicitud de información.
RFI vs RFP vs RFQ,RFP,Request for Proposal,Solicidud de propuesta (para que el vendedor indique costos por distintos servicios).
RFI vs RFP vs RFQ,RFQ,Request for Quote,Solicidud de presupuesto (para que el vendedor indique el costo de algo específico).
REVISION vs ADDENDUM vs AMENDMENT vs CHANGE ORDER,REV,Revision,Revisión (modificaciones del proyecto asociadas a una fecha/motivo específico).
REVISION vs ADDENDUM vs AMENDMENT vs CHANGE ORDER,ADD,Addendum,Apéndice (información añadida para clarificar un proyecto sin modificarlo).
REVISION vs ADDENDUM vs AMENDMENT vs CHANGE ORDER,AMEND,Amendment,Enmienda (información añadida que modifica de forma significativa el proyecto).
REVISION vs ADDENDUM vs AMENDMENT vs CHANGE ORDER,CO,Change Order,Orden de cambio (registro de una modificación en el alcance del contrato original). Básicamente es un tipo de enmienda del contrato para la construcción del proyecto.
SHOP DRAWINGS vs CONSTRUCTION DRAWINGS vs AS BUILT DRAWINGS,SHOP DWGS,Shop Drawings,"Planos que detallan componentes específicos del proyecto usualmente prefabricados como elevadores, cerchas, ventanas o elementos de carpintería. Deben ser revisados y aprobados por el equipo a cargo de la construcción."
SHOP DRAWINGS vs CONSTRUCTION DRAWINGS vs AS BUILT DRAWINGS,CONST DWGS,Construction Drawings,Planos constructivos (sirven como guía para todos los gremios que intervienen en el proyecto y la coordinación entre los mismos).
SHOP DRAWINGS vs CONSTRUCTION DRAWINGS vs AS BUILT DRAWINGS,AB DWGS,As Built Drawings,Planos que reflejan los cambios de último momento en obra.
BUDGET vs CONTINGENCY,BDGT,Budget,Presupuesto.
BUDGET vs CONTINGENCY,CONTING,Contingency,Porcentaje del presupuesto del proyecto reservado para gastos inesperados.
SCOPE OF WORK vs PUNCH LIST vs TAKE-OFF,SOW,Scope of Work,Alcance del trabajo (delimitación del trabajo a entregar en cada proyecto).
SCOPE OF WORK vs PUNCH LIST vs TAKE-OFF,PL,Punch List,Lista de tareas del alcance que deben finalizarse para declarar proyecto completado.
SCOPE OF WORK vs PUNCH LIST vs TAKE-OFF,TAKE-OFF,Take-off,Lista de materiales / costos estimados para finalizar un proyecto.
CC vs BCC,CC,Carbon Copy,"Vía email, copia del mensaje a un destinatario adicional."
CC vs BCC,BCC,Blind Carbon Copy,"Vía email, copia del mensaje a un destinatario adicional sin notificarla al principal."
REPLY vs REPLY ALL vs FORWARD,RE,Reply,Responder por email exclusivamente al remitente original.
REPLY vs REPLY ALL vs FORWARD,RE ALL,Reply All,Responder por email al remitente original y a los destinatarios adicionales.
REPLY vs REPLY ALL vs FORWARD,FW o FWD,Forward,"Vía email, reenvía el mensaje a un nuevo contacto."
PTO vs HOLIDAY vs VACATION vs SICK LEAVE,PTO,Paid Time Off,Tiempo libre remunerado (incluye días de vacaciones y los de baja por enfermedad).
PTO vs HOLIDAY vs VACATION vs SICK LEAVE,PH,Paid Holiday,Feriado de pago obligatorio.
PTO vs HOLIDAY vs VACATION vs SICK LEAVE,VAC,Vacation,Vacaciones.
PTO vs HOLIDAY vs VACATION vs SICK LEAVE,S/L,Sick Leave,Baja por enfermedad.
