module,acronym_abrev,term_eng,term_esp,definition_esp
CONSTRUCTION ELEMENTS,BATT INSUL,Batt Insulation,Aislamiento Laminado Pre-Cortado,Insulación laminada (pre-cortada en piezas de 4' / 8').
CONSTRUCTION ELEMENTS,BLNKT INSUL,Blanket Insulation,Aislamiento En Rollo,Insulación laminada (en rollo).
CONSTRUCTION ELEMENTS,FB INSUL,Foil Back Insulation,Aislamiento Con Aluminio,Insulación con aluminio laminado (es útil para evitar la transferencia térmica).
CONSTRUCTION ELEMENTS,SPRYD INSUL,Sprayed Insulation,Aislamiento Proyectado,Insulación proyectada / rociada (usual en espacios no habitables o casos de VBS).
CONSTRUCTION ELEMENTS,BLWN INSUL,Blown Insulation,Aislamiento Insuflado,Insulación aplicada con aire (gran versatilidad de aplicación).
CONSTRUCTION ELEMENTS,EIFS,Exterior Insulation Finishing System,Sistema De Aislamiento Térmico Exterior,Sistema de insulación térmica exterior (aplica para ciertos elementos en fachada).
CONSTRUCTION ELEMENTS,SOFF,Soffit,Cielo Raso / Sofito,Cielo raso.
CONSTRUCTION ELEMENTS,PKT SOFF,Pocket Soffit,Foso / Remetido De Cielo Raso,Remetido en el borde del cielo raso (para evitar el pegue contra una ventana alta).
CONSTRUCTION ELEMENTS,SUSP SOFF,Suspended Soffit,Cielo Raso Suspendido,Cielo raso suspendido (su estructura está suspendida del techo mediante perfiles).
CONSTRUCTION ELEMENTS,SOFF VENT,Soffit Vent,Ventilación De Sofito / Alero,Ventilación del alero.
CONSTRUCTION ELEMENTS,MONOL,Monolithic,Monolítico,Monolítico (elemento constructivo conformado por una sola pieza).
CONSTRUCTION ELEMENTS,FSTNR,Fastener,Fijación / Sujeción,"Mecanismo de unión entre dos piezas (incluye pernos y tornillos, entre otros)."
CONSTRUCTION ELEMENTS,BOLT,Bolt,Perno / Tornillo Con Tuerca,Tornillo (específicamente los que necesitan una tuerca para el cierre).
CONSTRUCTION ELEMENTS,SCRW,Screw,Tornillo De Rosca,Tornillo (específicamente los diseñados para encajar en el elemento sin tuerca).
CONSTRUCTION ELEMENTS,LAG BOLT,Lag Bolt,Tornillo Tirafondo,"Tornillo extremadamente resistente y de cabeza hexagonal. Aunque no necesita tuerca para el encaje, se tiende a llamar incorrectamente “bolt”."
CONSTRUCTION ELEMENTS,TAPCON,Tapcon Screw,Tornillo Para Concreto,"Tornillo (muy versátiles, típicos en el anclaje de awnings y bahama shutters)."
CONSTRUCTION ELEMENTS,NUT,Nut,Tuerca,Tuerca.
CONSTRUCTION ELEMENTS,FLSWK,Falsework,Obra Falsa / Puntales,Puntales (estructura provisional para sostener una permanente en construcción).
CONSTRUCTION ELEMENTS,FRMWK,Formwork,Encofrado / Formaleta,Encofrado / formaleta (molde provisional sobre el que se da forma al concreto).
CONSTRUCTION ELEMENTS,SCAFF,Scaffolding,Andamiaje,Andamiaje (estructura temporal para poder trabajar con seguridad elementos altos).
TABULATIONS AND DIMENSIONING,STBK,Setback,Distancia De Retiro / Retranqueo,Distancia desde el edificio hasta la línea de propiedad.
TABULATIONS AND DIMENSIONING,FRT STBK,Front Setback,Retiro Frontal,Distancia desde el frente del edificio hasta la línea de propiedad.
TABULATIONS AND DIMENSIONING,REAR STBK,Rear Setback,Retiro Posterior,Distancia desde la parte posterior del edificio hasta la línea de propiedad.
TABULATIONS AND DIMENSIONING,SIDE STBK,Side Setback,Retiro Lateral,Distancia desde la parte lateral del edificio hasta la línea de propiedad.
TABULATIONS AND DIMENSIONING,ENCR,Encroachment,Invasión / Rebasamiento,Distancia de rebasado de un elemento del edificio respecto a la separación límite.
TABULATIONS AND DIMENSIONING,FRT,Frontage,Frente Del Lote,Dimensión del frente del lote.
TABULATIONS AND DIMENSIONING,SEPAR,Building Separation,Separación Entre Edificios,Separación entre dos edificios del proyecto (en el punto más próximo).
TABULATIONS AND DIMENSIONING,CL,Center Line,Línea De Eje / Central,Tipo de línea dashdot (con trazos alternados de líneas y puntos). Sirve para indicar el punto central de un elemento.
TABULATIONS AND DIMENSIONING,OC,On Center,De Centro A Centro,Distancia de centro a centro.
TABULATIONS AND DIMENSIONING,OL,Overlap,Superposición / Solape,Superposición (distancia de solape entre dos elementos).
TABULATIONS AND DIMENSIONING,OH,Overhang,Voladizo / Alero,Voladizo (también es la distancia del voladizo).
TABULATIONS AND DIMENSIONING,CANT,Cantilever,Voladizo Estructural,Voladizo (caso específico en el que la viga sólo tiene un apoyo).
TABULATIONS AND DIMENSIONING,OFST,Offset,Desfase / Desplazamiento,Desfase / desplazamiento.
TABULATIONS AND DIMENSIONING,SPAN,Span,Luz / Vano,Luz (distancia horizontal entre dos elementos estructurales de apoyo).
TABULATIONS AND DIMENSIONING,BAY,Bay,Crujía,Crujía (distancia horizontal entre dos cerchas consecutivas).
TABULATIONS AND DIMENSIONING,HDRM,Headroom,Altura Libre / Altura De Paso,Distancia libre para evitar golpear la cabeza al pasar (típico 6'-8” mín en escaleras).
TABULATIONS AND DIMENSIONING,DBL,Double,Doble,Doble.
TABULATIONS AND DIMENSIONING,HGT o H,Height,Altura,Altura.
TABULATIONS AND DIMENSIONING,W,Width,Anchura,Anchura.
TABULATIONS AND DIMENSIONING,D,Deep,Fondo / Profundidad,Fondo / profundidad.
TABULATIONS AND DIMENSIONING,THK,Thick / Thickness,Grosor / Espesor,Grosor / espesor.
TABULATIONS AND DIMENSIONING,SIZE,Size,Tamaño,Tamaño.
TABULATIONS AND DIMENSIONING,AREA,Area,Área,Área.
TABULATIONS AND DIMENSIONING,DIAG,Diagonal,Diagonal,Diagonal.
TABULATIONS AND DIMENSIONING,PARAL,Parallel,Paralelo,Paralelo.
TABULATIONS AND DIMENSIONING,PERP,Perpendicular,Perpendicular,Perpendicular.
TABULATIONS AND DIMENSIONING,CHAM,Chamfer,Chaflán,"Chaflán (línea oblicua usualmente a 45º, para eliminar una esquina)."
TABULATIONS AND DIMENSIONING,BVL,Bevel,Bisel,Bisel (corte oblicuo en el extremo de un elemento).
TABULATIONS AND DIMENSIONING,FILLET,Fillet,Fillet / Esquina Redondeada,Fillet (esquina redondeada).
TABULATIONS AND DIMENSIONING,APPROX,Approximately,Aproximadamente,Aproximadamente.
TABULATIONS AND DIMENSIONING,O/A,Overall,General / Total,General.
TABULATIONS AND DIMENSIONING,EA,Each,Cada,Cada.
TABULATIONS AND DIMENSIONING,EQ,Equal,Equivalencia / Igualdad,Equivalencia (generalmente de dimensiones).
TABULATIONS AND DIMENSIONING,SYM,Symmetrical,Simétrico,Simétrico.
TABULATIONS AND DIMENSIONING,SIM,Similar,Similar,Similar.
TABULATIONS AND DIMENSIONING,OPP,Opposite,Opuesto,Opuesto (en la ubicación opuesta).
TABULATIONS AND DIMENSIONING,ADJ,Adjacent,Adyacente / Contiguo,Adyacente / contiguo (situado a la par).
TABULATIONS AND DIMENSIONING,INTERST,Interstitial Space,Espacio Intersticial,Espacio intersticial (espacio sin uso habitable entre dos losas estructurales).
TABULATIONS AND DIMENSIONING,HYB,Hybrid,Híbrida,Híbrida (aplica en unidades que son variaciones de la principal).
TABULATIONS AND DIMENSIONING,ALT,Alternative,Alternativa ,Alternativa a propuesta principal.
TABULATIONS AND DIMENSIONING,MOD,Modified,Modificado ,Modificación de propuesta principal.
TABULATIONS AND DIMENSIONING,OPT,Option,Opción ,Opción.
TABULATIONS AND DIMENSIONING,QTY,Quantity,Cantidad ,Cantidad.
TABULATIONS AND DIMENSIONING,NO,Number,Número ,Número.
TABULATIONS AND DIMENSIONING,TOTAL,Total,Total ,Total.
TABULATIONS AND DIMENSIONING,PARTIAL,Partial,Parcial ,Parcial.
TABULATIONS AND DIMENSIONING,RHYM,Rhythm,Ritmo ,"Ritmo (se refiere a la alternancia lleno/vacío, o a la repetición de un elemento)."
TABULATIONS AND DIMENSIONING,DIM,Dimension,Dimensión ,Dimensión.
TABULATIONS AND DIMENSIONING,DIST,Distance,Distancia ,Distancia (típico para indicar la longitud de las vías de evacuación).
TABULATIONS AND DIMENSIONING,PERIM,Perimeter,Perímetro ,Perímetro.
TABULATIONS AND DIMENSIONING,DIA,Diameter,Diámetro ,Diámetro.
TABULATIONS AND DIMENSIONING,ID,Inside Diameter,Diámetro Interior,Diámetro interior.
TABULATIONS AND DIMENSIONING,OD,Outside Diameter,Diámetro Exterior,Diámetro exterior.
TABULATIONS AND DIMENSIONING,RAD,Radius,Radio ,Radio.
TABULATIONS AND DIMENSIONING,TURN RAD,Turning Radius,Radio De Giro,"Radio de giro (para accesibilidad, el radio de giro de una silla de ruedas es 5')."
TABULATIONS AND DIMENSIONING,ARC,Arc,Arco ,Arco.
TABULATIONS AND DIMENSIONING,VRTX,Vertex,Vértice ,Vértice.
TABULATIONS AND DIMENSIONING,ANG,Angle,Ángulo ,Ángulo.
TABULATIONS AND DIMENSIONING,ROT,Rotate,Rotar ,Rotar un elemento.
TABULATIONS AND DIMENSIONING,FLIP,Flip,Invertir / Reflejar,Darle la vuelta a un elemento (simetría izquierda/derecha o arriba/abajo).
TABULATIONS AND DIMENSIONING,STRETCH,Stretch,Estirar ,Comando para estirar un elemento en CAD.
TABULATIONS AND DIMENSIONING,CRNR,Corner,Esquina ,Esquina.
TABULATIONS AND DIMENSIONING,OCC,Occupants,Ocupantes ,Ocupantes (nº de personas que se calcula puedan ocupar un espacio).
TABULATIONS AND DIMENSIONING,OCC LOAD,Occupant Load,Carga De Ocupantes,Carga de ocupantes (total de ocupantes calculados para un área o proyecto).
TABULATIONS AND DIMENSIONING,EVAC,Evacuation,Evacuación ,Evacuación del edificio o vivienda.
TABULATIONS AND DIMENSIONING,EGRSS,Egress,Egreso / Evacuación,Forma de evacuación del edificio o vivienda.
TABULATIONS AND DIMENSIONING,EXIT DSCHRG,Exit Discharge,Descarga De Salida,Parte del sistema de evacuación entre la salida y la vía pública.
TABULATIONS AND DIMENSIONING,LL,Live Load,Carga Viva,Carga viva (el sobrepeso variable del edificio causado por la ocupación y el uso).
TABULATIONS AND DIMENSIONING,DL,Dead Load,Carga Muerta,Carga muerta (se refiere al peso fijo de los elementos que forman parte del edificio).
TABULATIONS AND DIMENSIONING,HR,Hour,Hora / Resistencia Horaria,Hora (utilizado para el rating de los elementos para Life Safety).
TABULATIONS AND DIMENSIONING,ACCESS RT,Accessible Route,Ruta Accesible ,Ruta accesible (es la ruta de 3' de ancho que recorre las units en serie FHA).
TABULATIONS AND DIMENSIONING,PARAL APRCH,Parallel Approach,Aproximación Paralela,Acceso lateral a un elemento con un rectángulo de accesibilidad (30”x48”).
TABULATIONS AND DIMENSIONING,FWD APRCH,Forward Approach,Aproximación Frontal,Acceso frontal a un elemento con un rectángulo de accesibilidad (30”x48”).
TABULATIONS AND DIMENSIONING,FWD RCH,Forward Reach,Alcance Frontal,"Alcance frontal (el rectángulo de 30”x48”, podrá estar bajo un elemento máx 25”)."
TABULATIONS AND DIMENSIONING,LN,Line,Línea,Línea.
TABULATIONS AND DIMENSIONING,TRIANG,Triangle,Triángulo,Triángulo.
TABULATIONS AND DIMENSIONING,SQ,Square,Cuadrado ,Cuadrado.
TABULATIONS AND DIMENSIONING,PENTAG,Pentagon,Pentágono,Pentágono.
TABULATIONS AND DIMENSIONING,HEXAG,Hexagon,Hexágono,Hexágono.
TABULATIONS AND DIMENSIONING,POLYG,Polygon,Polígono,Polígono.
TABULATIONS AND DIMENSIONING,CIR,Circle,Círculo,Círculo.
TABULATIONS AND DIMENSIONING,SPH,Sphere,Esfera,Esfera.
TABULATIONS AND DIMENSIONING,CUBE,Cube,Cubo,Cubo.
TABULATIONS AND DIMENSIONING,CYL,Cylinder,Cilindro ,Cilindro.
TABULATIONS AND DIMENSIONING,FT,Feet,Pies,"Pies (como referencia, 1 FT = 30.48 CM)."
TABULATIONS AND DIMENSIONING,LF,Linear Feet,Pies Lineales,Pies lineales.
TABULATIONS AND DIMENSIONING,SF o SQFT,Square Feet,Pies Cuadrados,"Pies cuadrados (como referencia, 1,000 SF = 92.90 M2)."
TABULATIONS AND DIMENSIONING,IN,Inches,Pulgadas,"Pulgadas (como referencia, 1 IN = 2.54 CM)."
TABULATIONS AND DIMENSIONING,LI,Linear Inches,Pulgadas Lineales ,Pulgadas lineales.
TABULATIONS AND DIMENSIONING,SI o SQIN,Square Inches,Pulgadas Cuadradas,Pulgadas cuadradas.
TABULATIONS AND DIMENSIONING,YD,Yard,Yarda,"Yarda (unidad de longitud, típica para los trash bins -> 2 YD BINS. 1 YD = 3 FT)."
TABULATIONS AND DIMENSIONING,GA,Gauge,Calibre,Calibre (unidad típica para indicar el espesor de una lámina de metal).
TABULATIONS AND DIMENSIONING,AC,Acre,Acre ,"Acre (unidad de superficie, típica para lotes -> 1 AC = 43,560 SF)."
TABULATIONS AND DIMENSIONING,LBS,Pounds,Libras,"Libras (unidad de peso, típica en tabulación de elevadores)."
TABULATIONS AND DIMENSIONING,PSF,Pound Force Per Square Foot,Libras Por Pie Cuadrado ,Libras por pie cuadrado (unidad de presión para cálculo de ventanas en fachada).
TABULATIONS AND DIMENSIONING,PSI,Pound Force Per Square Inch,Libras Por Pulgada Cuadrada,Libras por pulgada cuadrada (unidad de presión).
TABULATIONS AND DIMENSIONING,FPM,Feet Per Minute,Pies Por Minuto ,"Pies por minuto (unidad de velocidad, típica en tabulación de elevadores)."
TABULATIONS AND DIMENSIONING,CONT,Continuous,Continuo ,Continuo.
TABULATIONS AND DIMENSIONING,SCL,Scale,Escala ,Escala.
TABULATIONS AND DIMENSIONING,GRAPH SCL,Graphic Scale,Escala Gráfica,Escala gráfica.
TABULATIONS AND DIMENSIONING,SCL FCTR,Scale Factor,Factor De Escala,"Factor de escala (según la escala del dibujo, la lámina tendrá un factor diferente). Ejemplos habituales: 1/4 -> 48 / 1/8 -> 96 / 1/16 -> 192... Cada factor de escala tiene asociadas sus calidades y tipos de línea."
TABULATIONS AND DIMENSIONING,LTSCALE,Linetype Scale,Escala De Tipo De Línea,"Escala de tipo de línea (según el factor de escala de la lámina, es un valor distinto)."
TABULATIONS AND DIMENSIONING,NTS,Not To Scale,No A Escala,No ajustado a escala.
TABULATIONS AND DIMENSIONING,VIF,Verify In Field,Verificar In Situ,Verificar in situ (dimensión específica).
TABULATIONS AND DIMENSIONING,FV,Field Verify,Verificar En El Campo / In Situ ,Verificar in situ (dimensión específica).
TABULATIONS AND DIMENSIONING,VARIES,Varies,Variable ,Dimensión variable (según el caso).
TABULATIONS AND DIMENSIONING,SIGN,Sign o Signage,Señalización / Cartelería,Señalización.
TABULATIONS AND DIMENSIONING,STD,Standard,Estándar ,Estándar.
TABULATIONS AND DIMENSIONING,CALCS,Calculations,Cálculos ,Cálculos.
TABULATIONS AND DIMENSIONING,MAX,Maximum,Máximo ,Máximo.
TABULATIONS AND DIMENSIONING,MIN,Minimum,Mínimo ,Mínimo.
TABULATIONS AND DIMENSIONING,AVG,Average,Promedio ,Promedio.
TABULATIONS AND DIMENSIONING,ABV,Above,Encima / Por Encima,"Encima (a bastante distancia, se especifica con línea discontinua qué ocurre arriba)."
TABULATIONS AND DIMENSIONING,OVER,Over,Encima / Cubriendo,Encima (un elemento se encuentra cubriendo otro o a muy poca distancia).
TABULATIONS AND DIMENSIONING,ON,On,Encima / Sobre ,"Encima (un elemento está directamente sobre el otro, con contacto entre ambos)."
TABULATIONS AND DIMENSIONING,BLW,Below,Debajo / Por Debajo ,"Debajo (a bastante distancia, se especifica con línea más fina qué ocurre abajo)."
TABULATIONS AND DIMENSIONING,UNDER,Under,Debajo / Bajo ,Debajo (un elemento se encuentra cubierto por otro o a muy poca distancia).
TABULATIONS AND DIMENSIONING,BNTH,Beneath,Debajo / Directamente Bajo ,"Debajo (un elemento está directamente bajo el otro, con contacto entre ambos)."
TABULATIONS AND DIMENSIONING,OHD,Overhead,Elevado / Por Encima De La Cabeza ,"Encima (se usa cuando un elemento cruza justo por encima, eg. puerta de garaje)."
TABULATIONS AND DIMENSIONING,U/S,Underside,Cara Inferior / Intradós ,Superficie o cara inferior / Envés / Intradós.
TABULATIONS AND DIMENSIONING,BHND,Behind,Detrás De...,Detrás de...
TABULATIONS AND DIMENSIONING,BSD,Beside,Junto A... ,Junto a...
TABULATIONS AND DIMENSIONING,BTWN,Between,Entre ,Entre dos elementos.
TABULATIONS AND DIMENSIONING,BYND,Beyond,Más Allá / Al Fondo ,"Hacia el fondo (típico en serie 3, para indicar lo que se ve tras el plano frontal)."
TABULATIONS AND DIMENSIONING,PLNR BRK,Planar Break,Cambio De Plano ,"Cambio de plano (típico en serie 3, para indicar una zona vista en escorzo / oblicua)."
TABULATIONS AND DIMENSIONING,MTCH LN,Match Line,Línea De Coincidencia / Ajuste,"Línea referencia para mostrar la continuación de un elemento (típico en serie 3, para mostrar una elevación o sección de gran longitud)."
TABULATIONS AND DIMENSIONING,VP,Vanishing Point,Punto De Fuga,Punto donde convergen las líneas en perspectiva.
TABULATIONS AND DIMENSIONING,EXT,Exterior,Exterior ,Exterior.
TABULATIONS AND DIMENSIONING,INT,Interior,Interior ,Interior.
TABULATIONS AND DIMENSIONING,HORIZ,Horizontal,Horizontal ,Horizontal.
TABULATIONS AND DIMENSIONING,VERT,Vertical,Vertical ,Vertical.
TABULATIONS AND DIMENSIONING,HI,High,Alto ,Alto (ejemplo: HI LO DF / High Low Drinking Fountain).
TABULATIONS AND DIMENSIONING,LO,Low,Bajo ,Bajo (ejemplo: HI LO DF / High Low Drinking Fountain).
TABULATIONS AND DIMENSIONING,UP,Up,Arriba ,Arriba (indicativo para rampas y escaleras).
TABULATIONS AND DIMENSIONING,DN,Down,Abajo ,Abajo (indicativo para rampas y escaleras).
TABULATIONS AND DIMENSIONING,LFT,Left,Izquierda ,Izquierda.
TABULATIONS AND DIMENSIONING,RGTH,Right,Derecha ,Derecha.
TABULATIONS AND DIMENSIONING,N,North,Norte ,Norte.
TABULATIONS AND DIMENSIONING,S,South,Sur ,Sur.
TABULATIONS AND DIMENSIONING,E,East,Este ,Este.
TABULATIONS AND DIMENSIONING,W,West,Oeste ,Oeste.
TABULATIONS AND DIMENSIONING,NE,Northeast,Noreste ,Noreste.
TABULATIONS AND DIMENSIONING,NW,Northwest,Noroeste ,Noroeste.
TABULATIONS AND DIMENSIONING,SE,Southeast,Sudeste ,Sudeste.
TABULATIONS AND DIMENSIONING,SW,Southwest,Sudoeste ,Sudoeste.
TABULATIONS AND DIMENSIONING,WING,Wing,Ala Del Edificio,"Ala (partes laterales de un edificio, subordinadas a un elemento o estructura central)."
TABULATIONS AND DIMENSIONING,IN,In,Dentro / Entrada ,Dentro / entrada.
TABULATIONS AND DIMENSIONING,OUT,Out,Fuera / Salida ,Fuera / salida.
TABULATIONS AND DIMENSIONING,1-W,One Way,Vía Única ,Única vía.
TABULATIONS AND DIMENSIONING,2-W,Two Way,Doble Vía ,Doble vía.
TABULATIONS AND DIMENSIONING,PED,Pedestrian,Peatón / Peatonal,Peatón / peatonal.
TABULATIONS AND DIMENSIONING,RES,Residents,Residentes ,"Residentes (indica zonas de acceso, paso o uso exclusivo para residentes)."
TABULATIONS AND DIMENSIONING,VIS,Visitors,Visitantes ,"Visitantes (indica zonas de acceso, paso o uso para visitantes)."
TABULATIONS AND DIMENSIONING,GUESTS,Guests,Invitados ,"Visitantes invitados (indica zonas de acceso, paso o uso para visitantes invitados)."
PROJECT TYPOLOGIES AND ZONES,PRCL,Parcel,Parcela / Lote Tributario,Lote (cantidad de terreno asociada con sus impuestos/tasas).
PROJECT TYPOLOGIES AND ZONES,LOT,Lot,Lote Legal / Predio,"Lote (subdivisión de la propiedad, con una descripción legal y dirección asociada)."
PROJECT TYPOLOGIES AND ZONES,BLDG,Building,Edificio,Edificio.
PROJECT TYPOLOGIES AND ZONES,CONDO,Condominium,Condominio,Condominio.
PROJECT TYPOLOGIES AND ZONES,APT,Apartment,Apartamento,Apartamento.
PROJECT TYPOLOGIES AND ZONES,HOUSE,House,Casa Estructura,"Casa (el edificio en sí, como estructura permanente)."
PROJECT TYPOLOGIES AND ZONES,HOME,Home,Hogar / Vivienda,Casa (en el sentido de hogar).
PROJECT TYPOLOGIES AND ZONES,RESI,Residential,Residencial,Residencial.
PROJECT TYPOLOGIES AND ZONES,RTL,Retail,Comercial / Local Comercial,Comercial.
PROJECT TYPOLOGIES AND ZONES,M/U DEV,Mixed-Use Development,Desarrollo De Uso Mixto,"Desarrollo de uso mixto (residencial, comercial, oficinas...)."
PROJECT TYPOLOGIES AND ZONES,MUPD,Multiple Use Planned Development,Desarrollo Planificado De Usos Múltiples,Desarrollo planificado de usos múltiples.
PROJECT TYPOLOGIES AND ZONES,ALF,Assisted Living Facility,Complejo De Vivienda Asistida,Complejo de viviendas para personas que requieren asistencia.
PROJECT TYPOLOGIES AND ZONES,MOB,Medical Office Building,Edificio De Oficinas Médicas,Centro de oficinas médicas.
PROJECT TYPOLOGIES AND ZONES,SNF,Skilled Nursing Facility,Centro De Enfermería Especializada,Centro de enfermería y rehabilitación.
PROJECT TYPOLOGIES AND ZONES,CRO,Contract Research Organization,Organización De Investigación Por Contrato,"Centro que da soporte a la industria farmacéutica (análisis, pruebas clínicas...)."
PROJECT TYPOLOGIES AND ZONES,SFR,Single Family Residence,Vivienda Unifamiliar,Vivienda unifamiliar.
PROJECT TYPOLOGIES AND ZONES,LRB,Low Rise Building,Edificio De Poca Altura,Edificio de poca altura (4 pisos o menos).
PROJECT TYPOLOGIES AND ZONES,MRB,Mid Rise Building,Edificio De Altura Media,Edificio de altura media (entre 5 y 12 pisos).
PROJECT TYPOLOGIES AND ZONES,HRB,High Rise Building,Edificio De Gran Altura,Edificio de gran altura (generalmente a partir de 9 pisos). Un edificio es high rise cuando la altura desde el acceso de calle de los bomberos hasta la vivienda más elevada > 75ft (debido a la dim de la escalera de incendios).
PROJECT TYPOLOGIES AND ZONES,SKYSCPR,Skyscraper,Rascacielos,Rascacielos (a partir de 40 pisos).
PROJECT TYPOLOGIES AND ZONES,TWR,Tower,Torre,Torre.
PROJECT TYPOLOGIES AND ZONES,MDU,Multi-Dwelling Unit,Edificio Multi-Vivienda,Edificio multi-vivienda.
PROJECT TYPOLOGIES AND ZONES,DU,Dwelling Unit,Unidad De Vivienda,Unidad de vivienda (término genérico para todos los tipos).
PROJECT TYPOLOGIES AND ZONES,MU,Micro Unit,Micro-Unidad,Micro-unidad de vivienda (usualmente por debajo de los 400 SF).
PROJECT TYPOLOGIES AND ZONES,ST,Studio,Estudio / Monoambiente,"Estudio (unidad de vivienda de dimensiones reducidas, alrededor de 600 SF)."
PROJECT TYPOLOGIES AND ZONES,UA,Unit Type A,Unidad Tipo A,Unidad de vivienda tipo A (1 dormitorio / 1 baño) -> Área aproximada 800 SF.
PROJECT TYPOLOGIES AND ZONES,UB,Unit Type B,Unidad Tipo B,"Unidad de vivienda tipo B (2 dormitorios / 2 baños) -> Área aproximada 1,000 SF."
PROJECT TYPOLOGIES AND ZONES,UC,Unit Type C,Unidad Tipo C,"Unidad de vivienda tipo C (3 dormitorios / 2 baños) -> Área aproximada 1,200 SF."
PROJECT TYPOLOGIES AND ZONES,UD,Unit Type D,Unidad Tipo D,"Unidad de vivienda tipo D (3 dormitorios / 2 baños, más espaciosa que la tipo C)."
PROJECT TYPOLOGIES AND ZONES,PH,Penthouse,Penthouse,Apartamento en el último piso en edificios de gran altura (generalmente lujoso).
PROJECT TYPOLOGIES AND ZONES,TH,Townhome / Townhouse,Vivienda Adosada,"Vivienda adosada unifamiliar (generalmente de 2 o 3 pisos). Los códigos para edificios multi-family, no necesariamente aplican para TH (por ser de un único propietario). En los pisos superiores, no aplica FHA (Fair Housing Act)."
PROJECT TYPOLOGIES AND ZONES,LFT,Loft,Loft,Loft (apartamento dentro de un edificio con un uso previamente industrial).
PROJECT TYPOLOGIES AND ZONES,L/W,Live/Work Unit,Unidad De Vivienda Y Trabajo,Unidad de vivienda diseñada para poder vivir y trabajar.
PROJECT TYPOLOGIES AND ZONES,MC,Memory Care Unit,Unidad De Cuidado De Memoria,"Unidad para personas con problemas de memoria (alzheimer, demencia... etc). Cuentan con un memory box en la entrada, y no disponen de cocina."
PROJECT TYPOLOGIES AND ZONES,AL,Assisted Living Unit,Unidad De Vida Asistida,"Unidad de vivienda para personas que requieren asistencia. Cuentan con cocina pequeña (sin fogón, sólo refrigerador, fregadero y despensa)."
PROJECT TYPOLOGIES AND ZONES,IL,Independent Living Unit,Unidad De Vida Independiente,"Unidad de vivienda para personas que no requieren asistencia. Cuentan con una cocina regular, como las de las unidades convencionales."
PROJECT TYPOLOGIES AND ZONES,DUP,Duplex,Dúplex,Dúplex.
PROJECT TYPOLOGIES AND ZONES,VILLA,Villa,Villa,Villa.
PROJECT TYPOLOGIES AND ZONES,RM,Room,Cuarto / Habitación,Cuarto.
PROJECT TYPOLOGIES AND ZONES,G/R,Great Room,Salón / Gran Sala,Salón.
PROJECT TYPOLOGIES AND ZONES,D/R,Dining Room,Comedor,Comedor.
PROJECT TYPOLOGIES AND ZONES,KIT,Kitchen,Cocina,Cocina.
PROJECT TYPOLOGIES AND ZONES,KITTE,Kitchenette,Cocina Pequeña,Cocina pequeña (de dimensiones reducidas y menos appliances).
PROJECT TYPOLOGIES AND ZONES,BD,Bedroom,Dormitorio,Dormitorio.
PROJECT TYPOLOGIES AND ZONES,MR BD,Master Bedroom,Dormitorio Principal,Dormitorio principal.
PROJECT TYPOLOGIES AND ZONES,D,Den,Habitación Multi-Uso / Estudio,"Habitación secundaria multi-uso (a diferencia del dormitorio, no necesita ventana)."
PROJECT TYPOLOGIES AND ZONES,ENTR,Entrance,Entrada,Entrada.
PROJECT TYPOLOGIES AND ZONES,FOY,Foyer,Vestíbulo De Entrada,Vestíbulo de entrada.
PROJECT TYPOLOGIES AND ZONES,LBBY,Lobby,Vestíbulo Principal / Lobby,Vestíbulo (generalmente junto a elevadores o escaleras).
PROJECT TYPOLOGIES AND ZONES,TERR,Terrace,Terraza,"Terraza (en contexto urbanístico, también puede ser una hilera de casas)."
PROJECT TYPOLOGIES AND ZONES,PRCH,Porch,Porche,Porche (generalmente frente a la fachada principal).
PROJECT TYPOLOGIES AND ZONES,LANAI,Lanai (haw.),Porche Posterior Extenso,Porche (usualmente más extenso y en la fachada posterior).
PROJECT TYPOLOGIES AND ZONES,PATIO,Patio,Patio Descubierto,Porche (usualmente descubierto y desconectado de la casa en su parte posterior).
PROJECT TYPOLOGIES AND ZONES,VERAND,Verandah,Veranda,"Veranda (porche en un costado de la vivienda, a veces envolviendo una esquina)."
PROJECT TYPOLOGIES AND ZONES,DECK,Deck,Plataforma / Deck,"Deck (usualmente descubierto, elevado y en la fachada posterior, typ de madera)."
PROJECT TYPOLOGIES AND ZONES,STOOP,Stoop,Escalinata / Acceso Elevado,"Zona previa a la entrada de la casa, ligeramente elevada."
PROJECT TYPOLOGIES AND ZONES,ATRIUM,Atrium,Atrio,"Atrio (espacio abierto techado en el interior del edificio, generalmente con lucernario)."
PROJECT TYPOLOGIES AND ZONES,COURT,Courtyard,Patio Interior Exterior,"Patio (espacio a cielo abierto que, a diferencia del atrio, es exterior)."
PROJECT TYPOLOGIES AND ZONES,BKYD,Backyard,Patio Trasero,Patio trasero.
PROJECT TYPOLOGIES AND ZONES,SUNRM,Sunroom,Solárium,Solárium (cuarto interior de la vivienda con gran iluminación natural y vista exterior).
PROJECT TYPOLOGIES AND ZONES,SKY DECK,Sky Deck,Plataforma De Techo / Sky Deck,Deck a cielo abierto (en el último piso de edificios de gran altura).
PROJECT TYPOLOGIES AND ZONES,RF,Roof,Techo / Cubierta,Techo.
PROJECT TYPOLOGIES AND ZONES,BSMT,Basement,Sótano,Sótano.
PROJECT TYPOLOGIES AND ZONES,CORR,Corridor,Corredor / Pasillo,Corredor / pasillo.
